iter	Passed	Remaining
693	1667	735
694	1670	732
695	1672	730
696	1675	728
697	1678	726
698	1680	723
699	1682	721
700	1684	718
701	1686	716
702	1689	713
703	1692	711
704	1694	708
705	1696	706
706	1699	704
707	1700	701
708	1703	699
709	1706	697
710	1708	694
711	1711	692
712	1713	689
713	1715	687
714	1718	684
715	1721	682
716	1723	680
717	1726	678
718	1728	675
719	1730	673
720	1733	670
721	1736	668
722	1738	666
723	1740	663
724	1743	661
725	1744	658
726	1747	656
727	1749	653
728	1752	651
729	1755	649
730	1757	646
731	1760	644
732	1762	641
733	1764	639
734	1767	637
735	1770	634
736	1772	632
737	1774	629
738	1776	627
739	1779	625
740	1781	622
741	1784	620
742	1787	618
743	1790	616
744	1793	613
745	1795	611
746	1797	608
747	1801	606
748	1803	604
749	1806	602
750	1808	599
751	1810	597
752	1812	594
753	1816	592
754	1818	590
755	1821	587
756	1823	585
757	1825	582
758	1827	580
759	1830	577
760	1832	575
761	1834	573
762	1837	570
763	1839	568
764	1842	565
765	1844	563
766	1847	561
767	1850	559
768	1852	556
769	1855	554
770	1857	551
771	1859	549
772	1862	546
773	1865	544
774	1867	542
775	1870	539
776	1872	537
777	1874	534
778	1877	532
779	1880	530
780	1883	528
781	1885	525
782	1887	523
783	1889	520
784	1892	518
785	1895	516
786	1897	513
787	1900	511
788	1902	508
789	1904	506
790	1906	503
791	1909	501
792	1912	499
793	1914	496
794	1916	494
795	1919	491
796	1921	489
797	1924	487
798	1926	484
799	1929	482
800	1931	479
801	1933	477
802	1935	474
803	1937	472
804	1940	470
805	1943	467
806	1945	465
807	1947	462
808	1950	460
809	1952	457
810	1954	455
811	1957	453
812	1959	450
813	1962	448
814	1964	445
815	1966	443
816	1968	440
817	1971	438
818	1974	436
819	1976	433
820	1978	431
821	1980	428
822	1983	426
823	1984	423
824	1988	421
825	1990	419
826	1992	416
827	1994	414
828	1997	411
829	1998	409
830	2001	406
831	2004	404
832	2006	402
833	2008	399
834	2011	397
835	2013	394
836	2015	392
837	2018	390
838	2021	387
839	2024	385
840	2026	383
841	2029	380
842	2031	378
843	2034	375
844	2037	373
845	2039	371
846	2041	368
847	2044	366
848	2046	363
849	2048	361
850	2051	359
851	2053	356
852	2055	354
853	2058	351
854	2060	349
855	2062	346
856	2065	344
857	2067	342
858	2070	339
859	2072	337
860	2074	334
861	2076	332
862	2079	330
863	2081	327
864	2083	325
865	2086	322
866	2088	320
867	2090	317
868	2093	315
869	2095	313
870	2098	310
871	2100	308
872	2103	305
873	2105	303
874	2108	301
875	2110	298
876	2113	296
877	2116	294
878	2118	291
879	2121	289
880	2123	286
881	2125	284
882	2128	281
883	2131	279
884	2133	277
885	2136	274
886	2138	272
887	2140	269
888	2143	267
889	2145	265
890	2148	262
891	2150	260
892	2153	257
893	2155	255
894	2157	253
895	2160	250
896	2163	248
897	2166	246
898	2168	243
899	2170	241
900	2172	238
901	2174	236
902	2176	233
903	2179	231
904	2181	229
905	2184	226
906	2186	224
907	2188	221
908	2191	219
909	2193	216
910	2196	214
911	2198	212
912	2200	209
913	2202	207
914	2204	204
915	2206	202
916	2209	199
917	2211	197
918	2214	195
919	2216	192
920	2219	190
921	2221	187
922	2223	185
923	2226	183
924	2228	180
925	2231	178
926	2233	175
927	2235	173
928	2237	171
929	2240	168
930	2243	166
931	2245	163
932	2247	161
933	2249	158
934	2251	156
935	2253	154
936	2256	151
937	2258	149
938	2261	146
939	2263	144
940	2266	142
941	2269	139
942	2272	137
943	2275	134
944	2278	132
945	2280	130
946	2282	127
947	2284	125
948	2288	122
949	2290	120
950	2292	118
951	2295	115
952	2297	113
953	2299	110
954	2301	108
955	2304	106
956	2307	103
957	2309	101
958	2311	98
959	2314	96
960	2317	94
961	2320	91
962	2322	89
963	2324	86
964	2326	84
965	2328	81
966	2330	79
967	2333	77
968	2336	74
969	2338	72
970	2340	69
971	2343	67
972	2345	65
973	2347	62
974	2350	60
975	2353	57
976	2355	55
977	2357	53
978	2360	50
979	2362	48
980	2364	45
981	2366	43
982	2369	40
983	2371	38
984	2373	36
985	2375	33
986	2378	31
987	2381	28
988	2384	26
989	2387	24
990	2389	21
991	2391	19
992	2393	16
993	2395	14
994	2398	12
995	2401	9
996	2403	7
997	2405	4
998	2408	2
999	2411	0
